year,country,pivotal1,pivotal2,pivotal3,pivotal4,pivotal5,pivotal6
1999,ZAF,55.69,60.21,48.91,67.17,42.39,54.27
2000,ARG,53.07,53.66,52.19,62.91,45.83,52.92
2000,AUS,65.94,67.99,62.87,72.61,57.3,65.38
2000,AUT,63.66,65.99,60.17,71.17,54.36,63.01
2000,BEL,70.09,74.92,62.84,77.82,57.26,68.61
2000,BGD,28.51,24.85,33.99,47.17,27.39,29.06
2000,BGR,27.44,29.58,24.24,49.45,18.26,26.78
2000,BLR,30.67,36.17,22.43,52.82,16.63,28.48
2000,BRA,62.61,64.82,59.29,70.34,53.4,61.99
2000,BRN,26.6,33.61,16.09,51.48,11.17,23.25
2000,CAN,80.75,84.79,74.68,85.89,70.44,79.57
2000,CHE,68.05,71.12,63.44,74.92,57.92,67.17
2000,CHL,50.47,54.45,44.5,63.41,37.85,49.22
2000,CHN,73.97,79.07,66.31,81.12,61.08,72.41
2000,CIV,24.88,28.87,18.89,49.1,13.54,23.35
2000,CMR,21.63,25.61,15.66,47.53,10.81,20.03
2000,COL,45.62,47.68,42.53,59.26,35.85,45.03
2000,CRI,29.58,30.5,28.19,49.91,21.88,29.32
2000,CYP,27.63,29.74,24.47,49.53,18.47,26.98
2000,CZE,50.37,53.99,44.94,63.12,38.3,49.26
2000,DEU,88.47,90.88,84.86,91.28,82.12,87.82
2000,DNK,58.99,63.33,52.49,69.3,46.14,57.66
2000,EGY,47.07,47.29,46.75,59.03,40.15,47.02
2000,ESP,71.93,73.82,69.09,76.97,64.17,71.42
2000,EST,22.33,25.24,17.97,47.35,12.75,21.3
2000,FIN,56.07,62.27,46.76,68.57,40.17,53.96
2000,FRA,82.62,85.11,78.88,86.17,75.22,81.94
2000,GBR,85.2,86.9,82.64,87.72,79.55,84.74
2000,GRC,50.84,48.76,53.96,59.91,47.7,51.29
2000,HKG,61.33,64.19,57.03,69.9,50.97,60.5
2000,HRV,29.27,29.05,29.59,49.19,23.19,29.32
2000,HUN,48.38,51.69,43.42,61.69,36.75,47.37
2000,IDN,60.84,66.45,52.43,71.5,46.08,59.03
2000,IND,57.95,62.03,51.82,68.41,45.44,56.7
2000,IRL,58.49,63.71,50.67,69.57,44.23,56.82
2000,ISL,22.72,24.09,20.67,46.81,15.08,22.31
2000,ISR,53.9,56.91,49.39,64.99,42.89,53.02
2000,ITA,78.95,81.44,75.21,83.06,71.04,78.26
2000,JOR,23.17,21.38,25.86,45.56,19.73,23.51
2000,JPN,87.74,90.77,83.2,91.18,80.2,86.9
2000,KAZ,40.15,45.44,32.21,57.95,25.68,38.26
2000,KHM,15.75,15.09,16.74,42.78,11.71,15.89
2000,KOR,73.09,78.02,65.69,80.27,60.39,71.59
2000,LAO,9.22,9.15,9.32,40.31,5.8,9.23
2000,LTU,24.83,26.54,22.27,47.97,16.49,24.31
2000,LUX,47.16,56.1,33.75,64.47,27.16,43.51
2000,LVA,23.47,25.65,20.19,47.54,14.66,22.76
2000,MAR,35.75,36.83,34.12,53.17,27.52,35.45
2000,MEX,73.08,75.44,69.54,78.22,64.67,72.43
2000,MLT,24.36,27.05,20.32,48.22,14.77,23.44
2000,MMR,20.91,22.96,17.83,46.28,12.63,20.23
2000,MYS,61.96,69.82,50.16,73.95,43.69,59.18
2000,NGA,49.43,57.75,36.95,65.54,30.28,46.19
2000,NLD,73.75,78.03,67.32,80.28,62.2,72.48
2000,NOR,63.13,70.04,52.77,74.11,46.44,60.79
2000,NZL,43.57,45.35,40.9,57.9,34.2,43.07
2000,PAK,37.16,38.26,35.51,53.93,28.87,36.86
2000,PER,38.01,40.34,34.51,55.07,27.9,37.31
2000,PHL,47.5,49.88,43.92,60.58,37.26,46.81
2000,POL,57.02,58.7,54.5,66.17,48.27,56.56
2000,PRT,52.21,52.0,52.52,61.88,46.17,52.26
2000,ROU,33.88,35.67,31.2,52.56,24.72,33.36
2000,RUS,67.97,73.67,59.41,76.85,53.53,66.16
2000,SAU,66.98,73.23,57.6,76.51,51.58,64.95
